color__c,speed__c,timestamp__c,decoder_type__c,fuel__c,brakes__c,KQ_id__c,laps__c,active__c,scale__c,tyres__c,digital_analog__c,tags__c,magnets__c,logo__c,DataSource__c,unix_time__c,manufacturer__c,DataSourceObject__c,name__c,interval_counter__c,id__c
,null,07.05.2025 09:35:40,Carrera (default),null,null,,5,yes,1:32,Original,digital,[],yes,generic.png,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,1746603340345,Carrera,carrera_v2_car_80687EFE,"Porsche 911 GT 3 R ""Team Bernhard, No 75"", DMT 2023",2,8
,1,27.05.2025 18:09:37,Carrera (default),null,null,,473,yes,1:32,Original,digital,[],yes,generic.png,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,1748362177003,Carrera,carrera_v2_car_80687EFE,"Porsche 911 GT 3 R ""Team Bernhard, No 75"", DMT 2023",422,4
,1,27.05.2025 18:09:40,Carrera (default),null,null,,1262,yes,1:32,Original,digital,[],yes,generic.png,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,1748362179883,Carrera,carrera_v2_car_80687EFE,"Lamborghini Huracan GT3 Evo2 ""SSR Performance, M.Bortolotti, No. 92"", DTM 2023",1211,7
,1,27.05.2025 17:06:12,Carrera (default),null,null,,1775,yes,1:32,Original,digital,[],yes,generic.png,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,1748358372423,Carrera,carrera_v2_car_80687EFE,Porsche 911 RSR,1743,3
,1,27.05.2025 16:59:53,Carrera (default),null,null,,103,yes,1:32,Original,digital,[],yes,generic.png,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,1748357992734,Carrera,carrera_v2_car_80687EFE,"VW Bus T2b ""Porsche Renndienst""",96,5
,1,27.05.2025 14:40:38,Carrera (default),null,null,,352,yes,1:32,Original,digital,[],yes,generic.png,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,1748349637838,Carrera,carrera_v2_car_80687EFE,"Audi R8 LMS GT3 evo II ""Abt Sportsline - Red Bull, No 7"" DTM 2024",351,2
red,120,06.05.2025 22:05:51,typeA,50%,yes,,5,yes,1:10,hard,digital,,yes,logo.png,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,1746561950894,Volkswagen,carrera_v2_car_80687EFE,Golf GTX,1,129
,null,07.05.2025 09:36:31,Carrera (default),null,null,,19,yes,1:32,Original,digital,[],yes,audi.png,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,1746603391219,Carrera,carrera_v2_car_80687EFE,"Audi R8 LMS GT3 evo II ""Engstler Motorsport, No 8"" DTM 2023",15,9
,1,27.05.2025 15:21:09,Carrera (default),null,null,,354,yes,1:32,Original,digital,[],yes,generic.png,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,1748352068899,Carrera,carrera_v2_car_80687EFE,"VW Bus T2b ""Peace and Love""",293,6
,null,07.05.2025 12:26:40,Carrera (default),null,null,,12,yes,1:32,Original,digital,[],yes,generic.png,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,1746606400041,Carrera,carrera_v2_car_80687EFE,"VW Bus T2b ""Peace and Love""",5,11
,null,07.05.2025 09:51:25,Carrera (default),null,null,,11,yes,1:32,Original,digital,[],yes,generic.png,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,1746604284742,Carrera,carrera_v2_car_80687EFE,"Audi R8 LMS GT3 evo II ""Abt Sportsline - Red Bull, No 7"" DTM 2024",2,10
,null,27.05.2025 16:53:17,Carrera (default),null,null,,172,yes,1:32,Original,digital,[],yes,audi.png,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,1748357596731,Carrera,carrera_v2_car_80687EFE,"Audi R8 LMS GT3 evo II ""Engstler Motorsport, No 8"" DTM 2023",162,1
red,120,30.10.2025 09:41:47,typeA,50%,yes,,5,yes,1:10,hard,digital,,yes,logo.png,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,1761813706558,Volkswagen,carrera_v2_car_80687EFE,Golf GTX,1,123
