KQ_driver_id__c,controller_id__c,laptime_raw__c,driver_id__c,laptime__c,timestamp__c,KQ_lap_id__c,KQ_car_id__c,event_type__c,DataSource__c,personal_best__c,unix_time__c,lap_id__c,DataSourceObject__c,lap__c,car_id__c
,1,7303,124,0:07.303,04.06.2025 16:59:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749056396000,1749056396000,carrera_v2_lap_80687EFE,1,2
,1,7776,124,0:07.776,04.06.2025 17:17:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749057476000,1749057476000,carrera_v2_lap_80687EFE,2,2
,1,7085,124,0:07.085,04.06.2025 17:35:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749058556000,1749058556000,carrera_v2_lap_80687EFE,3,2
,1,7059,124,0:07.059,04.06.2025 17:53:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749059636000,1749059636000,carrera_v2_lap_80687EFE,4,2
,1,8807,124,0:08.807,04.06.2025 18:11:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749060716000,1749060716000,carrera_v2_lap_80687EFE,5,2
,1,8410,124,0:08.410,04.06.2025 18:29:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749061796000,1749061796000,carrera_v2_lap_80687EFE,6,2
,1,7509,124,0:07.509,04.06.2025 18:47:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749062876000,1749062876000,carrera_v2_lap_80687EFE,7,2
,1,7640,124,0:07.640,04.06.2025 19:05:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749063956000,1749063956000,carrera_v2_lap_80687EFE,8,2
,1,7977,124,0:07.977,04.06.2025 19:23:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749065036000,1749065036000,carrera_v2_lap_80687EFE,9,2
,1,8308,124,0:08.308,04.06.2025 19:41:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749066116000,1749066116000,carrera_v2_lap_80687EFE,10,2
,2,8834,5,0:08.834,04.06.2025 16:59:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749056396000,1749056396000,carrera_v2_lap_80687EFE,11,6
,2,7221,5,0:07.221,04.06.2025 17:35:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749058556000,1749058556000,carrera_v2_lap_80687EFE,12,6
,2,8321,5,0:08.321,04.06.2025 18:11:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749060716000,1749060716000,carrera_v2_lap_80687EFE,13,6
,2,8289,5,0:08.289,04.06.2025 18:47:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749062876000,1749062876000,carrera_v2_lap_80687EFE,14,6
,2,9076,5,0:09.076,04.06.2025 19:23:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749065036000,1749065036000,carrera_v2_lap_80687EFE,15,6
,1,10401,13,0:10.401,04.06.2025 16:59:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749056396000,1749056396000,carrera_v2_lap_80687EFE,16,2
,1,6133,13,0:06.133,04.06.2025 17:35:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749058556000,1749058556000,carrera_v2_lap_80687EFE,17,2
,1,8088,13,0:08.088,04.06.2025 18:11:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749060716000,1749060716000,carrera_v2_lap_80687EFE,18,2
,1,10000,13,0:10.000,04.06.2025 18:47:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749062876000,1749062876000,carrera_v2_lap_80687EFE,19,2
,1,8008,13,0:08.008,04.06.2025 19:23:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749065036000,1749065036000,carrera_v2_lap_80687EFE,20,2
,2,6714,31,0:06.714,04.06.2025 16:59:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749056396000,1749056396000,carrera_v2_lap_80687EFE,21,7
,2,44923,31,0:44.923,04.06.2025 17:35:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749058556000,1749058556000,carrera_v2_lap_80687EFE,22,7
,2,9862,31,0:09.862,04.06.2025 18:11:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749060716000,1749060716000,carrera_v2_lap_80687EFE,23,7
,2,6314,31,0:06.314,04.06.2025 18:47:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749062876000,1749062876000,carrera_v2_lap_80687EFE,24,7
,2,1829,31,0:01.829,04.06.2025 19:23:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749065036000,1749065036000,carrera_v2_lap_80687EFE,25,7
,1,7809,98,0:07.809,04.06.2025 16:59:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749056396000,1749056396000,carrera_v2_lap_80687EFE,26,129
,1,98742,98,1:38.742,04.06.2025 17:35:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749058556000,1749058556000,carrera_v2_lap_80687EFE,27,129
,1,8133,98,0:08.133,04.06.2025 18:11:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749060716000,1749060716000,carrera_v2_lap_80687EFE,28,129
,1,7709,98,0:07.709,04.06.2025 18:47:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749062876000,1749062876000,carrera_v2_lap_80687EFE,29,129
,1,8798,98,0:08.798,04.06.2025 19:23:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749065036000,1749065036000,carrera_v2_lap_80687EFE,30,129
,1,6979,5,0:06.979,11.06.2025 16:59:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749661196000,1749661196000,carrera_v2_lap_80687EFE,31,129
,1,6897,5,0:06.897,11.06.2025 17:19:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749662396000,1749662396000,carrera_v2_lap_80687EFE,32,129
,1,5819,5,0:05.819,11.06.2025 17:39:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749663596000,1749663596000,carrera_v2_lap_80687EFE,33,129
,1,6176,5,0:06.176,11.06.2025 17:59:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749664796000,1749664796000,carrera_v2_lap_80687EFE,34,129
,1,6876,5,0:06.876,11.06.2025 18:19:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749665996000,1749665996000,carrera_v2_lap_80687EFE,35,129
,1,7871,5,0:07.871,11.06.2025 18:39:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749667196000,1749667196000,carrera_v2_lap_80687EFE,36,129
,1,6592,5,0:06.592,11.06.2025 18:59:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749668396000,1749668396000,carrera_v2_lap_80687EFE,37,129
,1,7562,5,0:07.562,11.06.2025 19:19:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749669596000,1749669596000,carrera_v2_lap_80687EFE,38,129
,1,6734,5,0:06.734,11.06.2025 19:39:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749670796000,1749670796000,carrera_v2_lap_80687EFE,39,129
,2,6949,6,0:06.949,11.06.2025 16:59:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749661196000,1749661196000,carrera_v2_lap_80687EFE,40,7
,2,5064,6,0:05.064,11.06.2025 17:35:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749663356000,1749663356000,carrera_v2_lap_80687EFE,41,7
,2,6576,6,0:06.576,11.06.2025 18:11:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749665516000,1749665516000,carrera_v2_lap_80687EFE,42,7
,2,5636,6,0:05.636,11.06.2025 18:47:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749667676000,1749667676000,carrera_v2_lap_80687EFE,43,7
,2,6036,6,0:06.036,11.06.2025 19:23:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749669836000,1749669836000,carrera_v2_lap_80687EFE,44,7
,1,5994,66,0:05.994,11.06.2025 16:59:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749661196000,1749661196000,carrera_v2_lap_80687EFE,45,2
,1,7498,66,0:07.498,11.06.2025 17:35:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749663356000,1749663356000,carrera_v2_lap_80687EFE,46,2
,1,2713,66,0:02.713,11.06.2025 18:11:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749665516000,1749665516000,carrera_v2_lap_80687EFE,47,2
,1,39521,66,0:39.521,11.06.2025 18:47:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749667676000,1749667676000,carrera_v2_lap_80687EFE,48,2
,1,26056,66,0:26.056,11.06.2025 19:23:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749669836000,1749669836000,carrera_v2_lap_80687EFE,49,2
,2,9551,118,0:09.551,11.06.2025 16:59:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749661196000,1749661196000,carrera_v2_lap_80687EFE,50,4
,2,8015,118,0:08.015,11.06.2025 17:35:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749663356000,1749663356000,carrera_v2_lap_80687EFE,51,4
,2,8228,118,0:08.228,11.06.2025 18:11:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749665516000,1749665516000,carrera_v2_lap_80687EFE,52,4
,2,7917,118,0:07.917,11.06.2025 18:47:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749667676000,1749667676000,carrera_v2_lap_80687EFE,53,4
,2,9137,118,0:09.137,11.06.2025 19:23:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749669836000,1749669836000,carrera_v2_lap_80687EFE,54,4
,1,9632,78,0:09.632,11.06.2025 16:59:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749661196000,1749661196000,carrera_v2_lap_80687EFE,55,129
,1,39671,78,0:39.671,11.06.2025 17:35:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749663356000,1749663356000,carrera_v2_lap_80687EFE,56,129
,1,269,78,0:00.269,11.06.2025 18:11:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749665516000,1749665516000,carrera_v2_lap_80687EFE,57,129
,1,8036,78,0:08.036,11.06.2025 18:47:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749667676000,1749667676000,carrera_v2_lap_80687EFE,58,129
,1,8936,78,0:08.936,11.06.2025 19:23:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749669836000,1749669836000,carrera_v2_lap_80687EFE,59,129
,1,6435,88,0:06.435,12.06.2025 08:59:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1749718796000,1749718796000,carrera_v2_lap_80687EFE,60,7
