KQ_driver_id__c,controller_id__c,laptime_raw__c,driver_id__c,laptime__c,timestamp__c,KQ_lap_id__c,KQ_car_id__c,event_type__c,DataSource__c,personal_best__c,unix_time__c,lap_id__c,DataSourceObject__c,lap__c,car_id__c
,2,7003,42,0:07.003,14.05.2025 18:13:59,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1747239238700,1747239238700,carrera_v2_lap_80687EFE,1209,7
,1,8381,102,0:08.381,14.05.2025 18:14:00,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1747239239542,1747239239542,carrera_v2_lap_80687EFE,1480,3
,1,7341,102,0:07.341,14.05.2025 18:14:07,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1747239246860,1747239246860,carrera_v2_lap_80687EFE,1481,3
,2,17321,42,0:17.321,14.05.2025 18:14:16,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1747239255982,1747239255982,carrera_v2_lap_80687EFE,1210,7
,1,9862,102,0:09.862,14.05.2025 18:14:17,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1747239256701,1747239256701,carrera_v2_lap_80687EFE,1482,3
,2,6034,42,0:06.034,14.05.2025 18:14:22,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1747239261983,1747239261983,carrera_v2_lap_80687EFE,1211,7
,1,8093,102,0:08.093,14.05.2025 18:14:25,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1747239264743,1747239264743,carrera_v2_lap_80687EFE,1483,3
,2,15662,42,0:15.662,14.05.2025 17:55:56,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1747238156207,1747238156207,carrera_v2_lap_80687EFE,1155,7
,2,5715,42,0:05.715,14.05.2025 17:56:02,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1747238161907,1747238161907,carrera_v2_lap_80687EFE,1156,7
,2,8438,112,0:08.438,27.05.2025 17:03:01,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1748358180720,1748358180720,carrera_v2_lap_80687EFE,459,7
,1,6937,113,0:06.937,27.05.2025 17:03:02,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1748358181677,1748358181677,carrera_v2_lap_80687EFE,403,3
,2,5043,112,0:05.043,27.05.2025 17:03:06,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1748358185818,1748358185818,carrera_v2_lap_80687EFE,460,7
,1,5689,113,0:05.689,27.05.2025 17:03:07,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1748358187438,1748358187438,carrera_v2_lap_80687EFE,404,3
,2,5453,112,0:05.453,27.05.2025 17:03:11,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1748358191159,1748358191159,carrera_v2_lap_80687EFE,461,7
,1,5186,113,0:05.186,27.05.2025 17:03:13,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1748358192598,1748358192598,carrera_v2_lap_80687EFE,405,3
,2,5250,112,0:05.250,27.05.2025 17:03:16,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1748358196380,1748358196380,carrera_v2_lap_80687EFE,462,7
,1,5502,113,0:05.502,27.05.2025 17:03:18,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1748358198058,1748358198058,carrera_v2_lap_80687EFE,406,3
,2,5698,112,0:05.698,27.05.2025 17:03:22,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1748358202138,1748358202138,carrera_v2_lap_80687EFE,463,7
,1,5161,113,0:05.161,27.05.2025 17:03:23,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1748358203223,1748358203223,carrera_v2_lap_80687EFE,407,3
,1,51579,12,0:51.579,07.05.2025 10:39:01,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1746607141420,1746607141420,carrera_v2_lap_80687EFE,77,5
,1,47950,10,0:47.950,07.05.2025 09:37:19,,,ui.lap_update,carrera_v2_6b799dd9_992f_4f07_bcd0_a3815b27c6ec,,1746603439042,1746603439042,carrera_v2_lap_80687EFE,55,2
